,date,open,high,low,close,volume,average,barCount
2250,2022-08-31 12:37:30,3986.5,3986.5,3986.25,3986.25,80.0,3986.35,31
2251,2022-08-31 12:37:35,3986.5,3986.75,3986.5,3986.75,99.0,3986.625,44
2252,2022-08-31 12:37:40,3986.75,3986.75,3986.5,3986.5,73.0,3986.575,24
2253,2022-08-31 12:37:45,3986.75,3986.75,3986.5,3986.5,47.0,3986.6,20
2254,2022-08-31 12:37:50,3986.75,3986.75,3985.0,3985.25,158.0,3985.8,67
2255,2022-08-31 12:37:55,3985.75,3985.75,3985.0,3985.25,64.0,3985.35,25
2256,2022-08-31 12:38:00,3985.0,3985.25,3985.0,3985.25,90.0,3985.1,32
2257,2022-08-31 12:38:05,3985.25,3985.25,3985.0,3985.0,63.0,3985.05,25
2258,2022-08-31 12:38:10,3985.0,3985.25,3984.0,3984.25,254.0,3984.35,116
2259,2022-08-31 12:38:15,3984.0,3984.25,3983.5,3984.0,261.0,3983.9,85
2260,2022-08-31 12:38:20,3984.0,3984.25,3983.5,3983.5,160.0,3984.05,51
2261,2022-08-31 12:38:25,3983.5,3983.75,3983.0,3983.25,251.0,3983.35,88
2262,2022-08-31 12:38:30,3983.25,3983.5,3983.0,3983.25,114.0,3983.35,38
2263,2022-08-31 12:38:35,3983.25,3983.5,3982.5,3983.0,331.0,3982.9,73
2264,2022-08-31 12:38:40,3982.75,3983.0,3982.25,3983.0,356.0,3982.725,123
2265,2022-08-31 12:38:45,3982.75,3983.0,3982.0,3982.0,317.0,3982.325,123
2266,2022-08-31 12:38:50,3982.0,3982.75,3982.0,3982.75,202.0,3982.25,60
2267,2022-08-31 12:38:55,3982.5,3983.0,3982.5,3982.75,119.0,3982.7,55
2268,2022-08-31 12:39:00,3982.75,3982.75,3981.25,3982.0,357.0,3981.875,145
2269,2022-08-31 12:39:05,3982.0,3983.0,3982.0,3983.0,220.0,3982.475,70
2270,2022-08-31 12:39:10,3983.0,3983.25,3982.75,3983.0,280.0,3983.075,54
2271,2022-08-31 12:39:15,3983.0,3983.25,3982.75,3983.25,88.0,3983.05,30
2272,2022-08-31 12:39:20,3983.25,3983.5,3983.0,3983.25,218.0,3983.325,44
2273,2022-08-31 12:39:25,3983.5,3983.5,3983.0,3983.0,64.0,3983.35,31
2274,2022-08-31 12:39:30,3983.25,3983.25,3982.75,3983.0,41.0,3983.15,18
2275,2022-08-31 12:39:35,3983.25,3983.5,3983.25,3983.25,72.0,3983.3,21
2276,2022-08-31 12:39:40,3983.5,3984.5,3983.5,3984.5,261.0,3984.125,82
2277,2022-08-31 12:39:45,3984.25,3984.5,3984.0,3984.0,111.0,3984.225,36
2278,2022-08-31 12:39:50,3984.0,3984.5,3984.0,3984.5,106.0,3984.375,32
2279,2022-08-31 12:39:55,3984.5,3984.75,3983.5,3983.75,82.0,3984.175,32
2280,2022-08-31 12:40:00,3983.75,3984.0,3983.5,3983.5,107.0,3983.9,46
2281,2022-08-31 12:40:05,3983.5,3983.5,3982.25,3982.5,300.0,3982.95,91
2282,2022-08-31 12:40:10,3982.5,3982.5,3981.75,3982.0,324.0,3982.075,103
2283,2022-08-31 12:40:15,3981.75,3982.0,3980.0,3980.25,647.0,3980.75,208
2284,2022-08-31 12:40:20,3980.5,3981.0,3980.0,3980.25,297.0,3980.425,67
2285,2022-08-31 12:40:25,3980.5,3980.75,3980.25,3980.75,116.0,3980.55,43
2286,2022-08-31 12:40:30,3980.75,3981.0,3980.25,3981.0,169.0,3980.675,48
2287,2022-08-31 12:40:35,3981.0,3982.0,3981.0,3982.0,324.0,3981.375,100
2288,2022-08-31 12:40:40,3981.75,3981.75,3980.25,3980.5,152.0,3980.975,55
2289,2022-08-31 12:40:45,3980.25,3980.25,3979.25,3979.75,449.0,3979.775,141
2290,2022-08-31 12:40:50,3980.0,3980.0,3979.5,3979.75,92.0,3979.825,39
2291,2022-08-31 12:40:55,3980.0,3980.75,3980.0,3980.5,166.0,3980.55,63
2292,2022-08-31 12:41:00,3980.5,3980.75,3980.0,3980.25,58.0,3980.375,28
2293,2022-08-31 12:41:05,3980.0,3980.25,3979.5,3979.5,105.0,3979.725,30
2294,2022-08-31 12:41:10,3979.25,3979.75,3979.25,3979.75,202.0,3979.575,63
2295,2022-08-31 12:41:15,3980.0,3980.0,3979.5,3979.75,86.0,3979.75,34
2296,2022-08-31 12:41:20,3980.0,3980.75,3979.75,3980.25,188.0,3980.35,68
2297,2022-08-31 12:41:25,3980.25,3980.5,3980.25,3980.25,124.0,3980.275,39
2298,2022-08-31 12:41:30,3980.25,3980.25,3978.75,3979.25,269.0,3979.35,65
2299,2022-08-31 12:41:35,3979.25,3979.5,3979.0,3979.5,196.0,3979.35,56
2300,2022-08-31 12:41:40,3979.5,3979.5,3979.0,3979.5,83.0,3979.35,33
2301,2022-08-31 12:41:45,3979.5,3980.25,3979.25,3980.0,142.0,3979.775,57
2302,2022-08-31 12:41:50,3980.25,3980.5,3980.25,3980.5,50.0,3980.4,28
2303,2022-08-31 12:41:55,3980.5,3980.75,3980.0,3980.0,76.0,3980.325,34
2304,2022-08-31 12:42:00,3979.75,3980.25,3979.75,3980.0,61.0,3980.175,28
2305,2022-08-31 12:42:05,3979.75,3980.0,3979.5,3979.5,36.0,3979.675,16
2306,2022-08-31 12:42:10,3979.75,3979.75,3979.25,3979.5,102.0,3979.475,26
2307,2022-08-31 12:42:15,3979.25,3979.25,3977.5,3978.0,790.0,3978.1,230
2308,2022-08-31 12:42:20,3977.75,3978.0,3977.5,3977.5,234.0,3977.725,66
2309,2022-08-31 12:42:25,3977.75,3979.0,3977.75,3979.0,307.0,3978.35,86
2310,2022-08-31 12:42:30,3979.0,3979.75,3978.75,3979.5,128.0,3979.325,59
2311,2022-08-31 12:42:35,3979.5,3979.75,3979.25,3979.25,82.0,3979.475,42
2312,2022-08-31 12:42:40,3979.5,3980.0,3979.25,3979.75,111.0,3979.55,37
2313,2022-08-31 12:42:45,3980.0,3980.25,3979.75,3979.75,77.0,3979.975,34
2314,2022-08-31 12:42:50,3979.5,3980.0,3979.5,3979.75,78.0,3979.825,29
2315,2022-08-31 12:42:55,3980.0,3980.0,3979.5,3979.5,66.0,3979.9,25
2316,2022-08-31 12:43:00,3979.75,3980.25,3979.75,3980.25,65.0,3980.0,24
2317,2022-08-31 12:43:05,3980.25,3980.25,3979.75,3979.75,94.0,3980.025,20
